"1","HRSB313","Recruitment and Selection"
"2","HRSB323","Training and Development"
"3","HRSB333","Performance Management"
"4","HRSB343","Cross-Cultural Management"
"5","HRSB353","Compensation Management"
"6","HRSB363","Industrial Relation"
"7","HRSB373","Occupational Safety & Health"
"8","HRSB383","HR Research"
"9","HRSB393","Applied HR Research"
"10","IBMB313","Managing Multinational Corporation"
"11","IBMB323","Production and Operation Management"
"12","IBMB333","International Business Policy"
"13","IBMB343","Export Management"
"14","IBMB353","International Human Resource Management"
"15","IBMB363","International Logistic"
"16","IBMB373","Seminar in International Business"
"17","IBMB383","Sea Transportation"
"18","IBMB393","Merger and Acquisition"
"19","LAWB223","Malaysian Company Law"
"20","LWBB113","Malaysian Commercial Law"
"21","LWBB223","Malaysian Company Law and Secretarial Practices"
"22","MGMB113","Principles of Management"
"23","MGMB213","Organisational Behaviour"
"24","MGMB214","Human Resource Management"
"25","MGMB223","Organisation Theory"
"26","MGMB233","Organisational Development and Change"
"27","MGMB253","International Business"
"28","MGMB263","Management Information System"
"29","MGMB313","Business Ethics"
"30","MGMB314","Strategic Management"
"31","MGMB323","Management Science"
"32","MGMB333","Strategic Management"
"33","PNGB213","Management Science"
"34","PNGB333","Strategic Management"
"35","PSMB333","Organization Theory"
"36","PSMB373","Organizational Development & Change"
"37","HRMB313","Training & Development"
"38","HRMB323","Human Resource Planning"
"39","HRMB333","Total Quality Management"
"40","HRMB343","Occupational Safety and Health"
"41","HRMB413","Organizational Theory"
"42","MMTB243","Human Resource Management"
"43","MMTB333","Strategic Management"
"44","PNGB223","Management Information System"
"45","PNGB233","Organisational Behaviour"
"46","PNGB243","Human Resource Management"
"47","PNGB313","Business Ethics"
"48","PNGB323","International Business"
"49","PSMB313","Industrial Relation"
"50","PSMB323","Training & Development"
"51","PSMB343","Total Quality Management"
"52","PSMB353","Compensation Management"
"53","PSMB363","Performance Management"
"54","PSMB383","Occupational Safety & Health"
"55","PUNB113","Malaysian Commercial Law"
"56","PUNB223","Malaysian Company Law & Sec. Practice"
"57","ENDB313","Entrepreneurship"
"58","ENDB323","Franchising"
"59","ENDB333","Entrepreneurship Research"
"60","ENDB343","IP & Technological Innovation"
"61","ENDB353","Strategic Entrepreneurship"
"62","ENDB363","Applied Entrepreneurship Research"
"63","ENDB373","Issues In Malaysian Entrepreneurship"
"64","ENEB313","Islamic Entrepreneurship"
"65","ENEB323","International Entrepreneurship"
"66","MGMB243","Marketing and Human Resources Management"
"67","MKEB313","Marketing Channels Management"
"68","MKEB323","Business-to-Business Marketing"
"69","MKEB333","International Marketing"
"70","MKGB113","Principles of Marketing"
"71","MKGB213","Consumer and Buyer Behaviour"
"72","MKGB313","Product Management"
"73","MKGB323","Multimedia Marketing"
"74","MKGB333","Integrated Marketing Communications"
"75","MKGB343","Marketing Research"
"76","MKGB353","Service Marketing"
"77","MKGB363","Sales Management"
"78","MKGB373","Applied Marketing Research"
